report_year,state,city_town,so2_annual_avg,no2_annual_avg,pm10_annual_avg,pm25_annual_avg
2023,Maharashtra,Tarapur,20,53,110,
2023,Maharashtra,Thane,21,29,112,34
2023,Maharashtra,Ulhas Nagar,17,42,137,59
2023,Manipur,Imphal,48,10,75,41
2023,Meghalaya,Byraihat,16,18,100,49
2023,Meghalaya,Dawki,7,11,41,24
2023,Meghalaya,Khlihriat,6,11,50,27
2023,Meghalaya,Nongstoin,6,11,45,23
2023,Meghalaya,Shillong,18,8,58,31
2023,Meghalaya,Tura,3,7,45,21
2023,Meghalaya,Umsning,7,9,90,35
2023,Mizoram,Aizwal,2,4,52,12
2023,Mizoram,Champhai,2,5,29,
2023,Mizoram,Kolasib,2,4,19,8
2023,Mizoram,Lawngtlai,2,5,47,
2023,Mizoram,Lunglei,2,5,12,
2023,Mizoram,Mamit,2,5,36,
2023,Mizoram,Siaha,2,5,32,
2023,Mizoram,Serchhip,2,5,22,
2023,Nagaland,Dimapur,2,8,97,
2023,Nagaland,Kohima,27,3,69,33
2023,Odisha,Balasore,7,11,106,61
2023,Odisha,Baripada,5,6,101,47
2023,Odisha,Bhubaneshwar,4,18,111,46
2023,Odisha,Bileipada,18,8,165,63
2023,Odisha,Brajrajnagar,21,19,78,34
2023,Odisha,Cuttack,7,23,129,55
2023,Odisha,Jharsuguda,9,14,112,55
2023,Odisha,Keonjhar,6,19,100,55
2023,Odisha,Konark,2,12,64,
2023,Odisha,Nayagarh,3,27,129,56
2023,Odisha,Paradeep,15,11,90,44
2023,Odisha,Puri,2,13,98,26
2023,Odisha,Rairangpur,9,19,99,60
2023,Odisha,Rourkela,8,17,127,56
2023,Odisha,Sambalpur,8,25,111,44
2023,Odisha,Suakati,11,16,112,54
2023,Odisha,Talcher,25,31,110,54
2023,Odisha,Tensa,11,36,85,43
2023,Pondicherry (UT),Pondicherry,7,12,50,24
2023,Punjab,Amritsar,15,25,117,59
2023,Punjab,Aspal Khurd (Tapa),6,14,87,
2023,Punjab,Barnala,6,15,92,
2023,Punjab,Batala,7,15,71,
2023,Punjab,Bhatinda,12,21,124,51
2023,Punjab,Changal (Sangrur),5,13,85,
2023,Punjab,Dera Baba Nanak,5,13,55,
2023,Punjab,Dera Bassi,7,16,105,
2023,Punjab,Faridkot,6,16,89,
2023,Punjab,Fatehpur (Samana),5,13,85,
2023,Punjab,Fazilka,6,16,94,
2023,Punjab,Mandi Gobindgarh,15,26,125,68
2023,Punjab,Gurdaspur,6,15,81,
2023,Punjab,Guru Ki Dhab (Kotkapura),6,14,79,
2023,Punjab,Jaito Sarja (Batala),7,14,68,
2023,Punjab,Jalandhar,10,21,116,52
2023,Punjab,Khanna,12,24,98,41
2023,Punjab,Kotladoom (Ajnala),6,16,102,
2023,Punjab,Lakho ke Behram (Ferozpur),,14,81,
2023,Punjab,Ludhiana,11,23,169,61
2023,Punjab,Malerkota,6,16,92,
2023,Punjab,Moga,6,16,88,
2023,Punjab,Mohali,6,15,100,
2023,Punjab,Mrar Kalan (Muktsar),5,14,82,
2023,Punjab,Mukandpur (Nawashahar),6,15,65,
2023,Punjab,Mureedke (Batala),6,15,77,
2023,Punjab,Naudhrani (Malerkotla),6,14,82,
2023,Punjab,Naya Nangal,5,11,60,
2023,Punjab,Patiala,8,20,92,43
2023,Punjab,Peer Mohammad (Jalalabad),,14,84,
2023,Punjab,Poohli (Bhatinda),6,14,86,
2023,Punjab,Qila Bharian (Sangrur),6,14,85,
2023,Punjab,Rohila (Samrala),7,16,84,
2023,Punjab,Rupnagar,5,21,142,50
2023,Punjab,SBS nagar,6,16,92,
2023,Punjab,Sirhind,6,17,93,
2023,Punjab,Taran-Tarn,6,15,92,
2023,Punjab,Tirathpur (Amritsar I),7,15,104,
2023,Rajasthan,Ajmer,14,23,101,46
2023,Rajasthan,Alwar,15,36,128,42
2023,Rajasthan,Banswara,6,15,110,45
2023,Rajasthan,Baran,6,16,111,52
2023,Rajasthan,Barmer,5,10,102,28
2023,Rajasthan,Bharatpur,8,32,168,65
2023,Rajasthan,Bhilwara,7,20,121,55
2023,Rajasthan,Bhiwadi,14,35,226,77
2023,Rajasthan,Bikaner,4,26,174,53
2023,Rajasthan,Bundi,3,16,136,46
2023,Rajasthan,Chittorgargh,8,22,114,55
2023,Rajasthan,Churu,5,25,116,47
2023,Rajasthan,Dholpur,7,13,127,68
2023,Rajasthan,Dungarpur,4,16,99,52
2023,Rajasthan,Hanumangarh,6,20,211,81
2023,Rajasthan,Jaipur,9,32,143,55
2023,Rajasthan,Jaisalmer,4,20,139,39
2023,Rajasthan,Jalore,5,32,163,56
2023,Rajasthan,Jhalawar,5,16,98,40
2023,Rajasthan,Jhunjhunu,4,23,127,55
2023,Rajasthan,Jodhpur,7,25,127,45
2023,Rajasthan,Karauli,7,19,60,31
2023,Rajasthan,Kota,9,32,122,60
2023,Rajasthan,Nagaur,4,17,135,43
2023,Rajasthan,Pali,10,22,110,54
2023,Rajasthan,Pratapgarh,3,13,100,36
2023,Rajasthan,Rajasmand,3,11,93,38
2023,Rajasthan,Sawai Madhopur,9,16,108,45
2023,Rajasthan,Sikar,3,16,147,44
2023,Rajasthan,Sirohi,5,19,88,30
2023,Rajasthan,Tonk,4,17,170,56
2023,Rajasthan,Udaipur,8,29,122,48
2023,Sikkim,Gangtok,30,4,34,16
2023,Sikkim,Mangan,3,5,41,
2023,Sikkim,Namchi,5,5,,
2023,Sikkim,Pelling,6,5,,
2023,Sikkim,Ravangla,4,5,,
2023,Sikkim,Singtam,5,10,63,
2023,Tamilnadu,Ariyalura,18,27,43,24
2023,Tamilnadu,Chengalpattu,,24,,35
2023,Tamilnadu,Chennai,10,21,63,28
2023,Tamilnadu,Coimbatore,7,11,83,
2023,Tamilnadu,Cuddalore,15,40,42,21
2023,Tamilnadu,Dharmapuri,8,22,42,21
2023,Tamilnadu,Dindigul,,,52,29
